STATE,MAX_TEMP,MONTH,PERCIPATATION
AL,88.4,6,4.9
AK,59.9,6,2.4
AZ,93,6,0.2
AR,87.4,6,3.9
CA,84.5,6,0.3
CO,78.3,6,1.4
CT,77.7,6,4.4
DE,82.7,6,4.1
FL,90.4,6,7.7
GA,88.6,6,5
HI,82.1,6,2.2
ID,71.2,6,1.8
IL,82.9,6,4.7
IN,82,6,4.8
IA,80.6,6,5.3
KS,86.7,6,4
KY,84.1,6,4.7
LA,89.8,6,5.5
MA,72.1,6,4.4
MD,82.5,6,4.2
MA,76.5,6,4.3
MI,76.3,6,3.4
MN,75.9,6,4.5
MS,89,6,4.7
MO,84.1,6,4.6
MT,71.7,6,2.9
NE,81.8,6,3.8
NV,81.3,6,0.6
NH,74.4,6,4.6
NJ,81,6,4.3
NM,87.8,6,1
NY,75.4,6,4.3
NC,84.9,6,4.7
ND,75.5,6,3.5
OH,80.7,6,4.4
OK,88.7,6,4.3
OR,71.7,6,1.5
PA,78.3,6,4.4
RI,76.4,6,4
SC,88.3,6,4.8
SD,78.6,6,3.5
TN,85,6,4.7
TX,92.3,6,3.1
UT,81.1,6,0.7
VT,73.6,6,4.7
VA,82.6,6,4.4
WA,69.9,6,1.9
WV,80.1,6,4.7
WI,76.4,6,4.7
WY,73.2,6,1.7
AL,90.7,7,5.2
AK,62.3,7,3.5
AZ,95.2,7,1.6
AR,91,7,3.9
CA,90.9,7,0.2
CO,83.5,7,2.1
CT,82.9,7,4
DE,87.3,7,4.4
FL,91.6,7,7.2
GA,91,7,5
HI,83.3,7,2.6
ID,82.3,7,0.7
IL,85.8,7,4.1
IN,84.8,7,4.3
IA,83.9,7,4.2
KS,91.5,7,3.9
KY,87,7,4.9
LA,91.9,7,5.3
MA,77.2,7,4
MD,86.9,7,4.4
MA,81.9,7,3.8
MI,80.3,7,3.4
MN,80.1,7,4
MS,91.3,7,5
MO,88.2,7,4.3
MT,81.7,7,1.5
NE,87.3,7,3.2
NV,89.9,7,0.5
NH,79.1,7,4.5
NJ,85.7,7,4.7
NM,88.7,7,2.4
NY,79.7,7,4.1
NC,88.1,7,5.1
ND,81.5,7,3
OH,84,7,4.2
OK,93.8,7,3.2
OR,82.2,7,0.5
PA,82.3,7,4.4
RI,81.9,7,3.4
SC,91.3,7,4.9
SD,85.6,7,2.8
TN,87.9,7,4.7
TX,94.6,7,2.4
UT,88.2,7,0.9
VT,78,7,4.6
VA,86.3,7,4.5
WA,78.7,7,0.8
WV,83.2,7,5
WI,80.4,7,4
WY,82.1,7,1.2
AL,90.2,8,4.6
AK,57.9,8,4.6
AZ,93.2,8,1.9
AR,90.6,8,3.6
CA,90.4,8,0.2
CO,80.9,8,2.1
CT,81,8,4.2
DE,85.3,8,4.7
FL,91.3,8,7.6
GA,89.9,8,5
HI,84,8,3.4
ID,81.3,8,0.7
IL,84.4,8,3.6
IN,83.5,8,3.6
IA,81.7,8,4.1
KS,89.5,8,3.5
KY,86.3,8,3.6
LA,92.2,8,5.1
MA,76,8,3.7
MD,84.9,8,4.2
MA,80.3,8,4
MI,78.4,8,3.3
MN,78.1,8,3.5
MS,91.2,8,4.5
MO,87,8,3.8
MT,80.9,8,1.2
NE,85.1,8,2.9
NV,88.1,8,0.5
NH,77.5,8,4.2
NJ,83.8,8,4.6
NM,86.3,8,2.4
NY,78,8,4
NC,86.3,8,5.2
ND,80.9,8,2.2
OH,82.6,8,3.5
OK,92.9,8,3.2
OR,81.7,8,0.5
PA,80.6,8,4
RI,80.6,8,3.9
SC,89.5,8,5.2
SD,83.9,8,2.3
TN,87.4,8,3.8
TX,94.6,8,2.5
UT,85.6,8,1.1
VT,76.3,8,4.4
VA,84.6,8,4.1
WA,78.7,8,0.9
WV,82.1,8,3.9
WI,78.2,8,3.9
WY,80.3,8,1
AL,86,9,4.1
AK,48.3,9,5
AZ,87.9,9,1.2
AR,84.5,9,3.7
CA,85.2,9,0.3
CO,73.6,9,1.5
CT,73.9,9,4.4
DE,79,9,4.2
FL,89,9,6.5
GA,85.4,9,4.1
HI,83.8,9,2.8
ID,71.2,9,1.1
IL,78.5,9,3.4
IN,77.9,9,3.3
IA,75.4,9,3.5
KS,81.9,9,2.5
KY,80.7,9,3.6
LA,88.2,9,4.5
MA,68,9,3.7
MD,78.4,9,4.3
MA,73,9,4.2
MI,71.1,9,3.2
MN,69.8,9,3.1
MS,86.8,9,3.8
MO,79.8,9,3.9
MT,69.9,9,1.4
NE,77.6,9,2.1
NV,79.4,9,0.5
NH,70,9,4
NJ,77.2,9,4.2
NM,80.4,9,1.8
NY,71.1,9,4
NC,81,9,5.3
ND,71.1,9,1.9
OH,76.6,9,3.3
OK,85.1,9,3.3
OR,74.1,9,1
PA,73.8,9,4.3
RI,73.8,9,4.1
SC,84.5,9,4.5
SD,75.2,9,1.9
TN,82,9,3.9
TX,88.2,9,3.1
UT,76.7,9,1.2
VT,69,9,3.9
VA,78.6,9,4.4
WA,70.8,9,1.7
WV,76.5,9,3.7
WI,70.6,9,3.6
WY,70.3,9,1.3
AL,76.7,10,3.5
AK,33.2,10,4.2
AZ,77.1,10,0.8
AR,73.9,10,4.3
CA,74.4,10,1.1
CO,61.1,10,1.4
CT,62.5,10,4.8
DE,68.5,10,3.9
FL,83.6,10,3.7
GA,76.8,10,3.2
HI,82.7,10,3.7
ID,56.2,10,1.9
IL,66.1,10,3.3
IN,65.8,10,3.3
IA,62.3,10,2.7
KS,69.4,10,2.3
KY,69.7,10,3.5
LA,79.7,10,4.5
MA,54.6,10,4.8
MD,67.6,10,3.8
MA,61.3,10,4.8
MI,57.7,10,3.5
MN,54.9,10,2.5
MS,77.4,10,3.9
MO,68.5,10,3.4
MT,54.8,10,1.5
NE,63.9,10,1.9
NV,66,10,0.8
NH,57.1,10,5
NJ,65.8,10,4.2
NM,70.6,10,1.2
NY,58.6,10,4.3
NC,71.9,10,3.7
ND,54.7,10,1.5
OH,64.6,10,3
OK,73.9,10,3.4
OR,60.6,10,2.5
PA,62.1,10,3.9
RI,62.8,10,4.8
SC,75.7,10,3.6
SD,59.6,10,1.8
TN,71.6,10,3.6
TX,79.5,10,2.8
UT,62.9,10,1.3
VT,55.9,10,4.6
VA,68.6,10,3.5
WA,56.9,10,4.1
WV,65.7,10,3.2
WI,57,10,3
WY,55.7,10,1.4
AL,66.2,11,4.3
AK,19.4,11,3.5
AZ,64.9,11,0.7
AR,61.6,11,4.5
CA,62,11,2.2
CO,48.2,11,1.1
CT,51.1,11,3.9
DE,57.4,11,3.3
FL,76.6,11,2.4
GA,67.4,11,3.3
HI,80.2,11,5
ID,41.5,11,2.5
IL,51.3,11,3.1
IN,51.6,11,3.4
IA,46.4,11,1.8
KS,55.7,11,1.3
KY,57.2,11,3.5
LA,69.4,11,4.5
MA,41.9,11,4
MD,56.1,11,3.2
MA,50.1,11,3.9
MI,43.8,11,2.6
MN,38,11,1.3
MS,66.3,11,4.4
MO,55,11,3.3
MT,40.6,11,1.3
NE,49.6,11,0.9
NV,52.3,11,0.8
NH,44.7,11,3.8
NJ,54.7,11,3.4
NM,58.6,11,0.7
NY,46.2,11,3.4
NC,62,11,3.6
ND,37.3,11,0.6
OH,51.4,11,2.9
OK,61.5,11,2.3
OR,47.1,11,4.2
PA,49.8,11,3.3
RI,52.3,11,4.1
SC,66.1,11,3.2
SD,44.1,11,0.7
TN,59.8,11,4.2
TX,68.5,11,2
UT,48.8,11,1
VT,43.3,11,3.5
VA,57.9,11,3.2
WA,43.8,11,6.4
WV,54,11,3.1
WI,41.5,11,2
WY,41.8,11,1
AL,58.4,12,5.5
AK,13.2,12,3.1
AZ,54.8,12,1.1
AR,52.3,12,4.8
CA,53.7,12,4
CO,38.7,12,1.1
CT,40.9,12,4.4
DE,48.3,12,3.9
FL,71.5,12,2.9
GA,60,12,4.4
HI,78.1,12,4.7
ID,32.4,12,3
IL,39.4,12,2.4
IN,40.1,12,3
IA,33.2,12,1.4
KS,44.5,12,1.1
KY,47,12,4.4
LA,62,12,5.2
MA,30.7,12,4.1
MD,46.7,12,3.7
MA,39.8,12,4.5
MI,32.8,12,2.2
MN,24.5,12,1
